technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar
LOHC hydrogenation,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.004,,,,,,,1.867,54243.958,20.0,0.944,,,,,,,,,,,,,,,
LOHC loaded DBT storage,,,,,,6.25,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,151.5383,30.0,,,,,,,,,,,,,,,,
LOHC transport ship,,,,,,5.0,,,,,,,75000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,35000000.0,15.0,,,,,,,,,,,,,,,,
LOHC unloaded DBT storage,,,,,,6.25,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,134.2745,30.0,,,,,,,,,,,,,,,,
Lead-Acid-bicharger,,,,,,2.4427,,,,,,,,,,,,,,,,,0.07,,,,0.8832,,,,,,,,,,,,,,,128853.6139,12.0,,,,,,,,,,,,,,,,
Lead-Acid-store,,,,,,0.2542,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,320631.3818,12.0,,,,,,,,,,,,,,,,
Liquid fuels ICE (passenger cars),,,,,,1.6,,,,,,,,,,,,,,,,,0.07,,,,0.215,,,,,,,,,,,,,,,24999.0,15.0,,,,,,,,,,,,,,,,
Liquid fuels ICE (trucks),,,,,,17.1,,,,,,,,,,,,,,,,,0.07,,,,0.373,,,,,,,,,,,,,,,105315.0,15.0,,,,,,,,,,,,,,,,
Liquid-Air-charger,,,,,,0.366,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,475721.2289,35.0,,,,,,,,,,,,,,,,
Liquid-Air-discharger,,,,,,0.5212,,,,,,,,,,,,,,,,,0.07,,,,0.55,,,,,,,,,,,,,,,334017.033,35.0,,,,,,,,,,,,,,,,
Liquid-Air-store,,,,,,0.3208,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,159004.771,35.0,,,,,,,,,,,,,,,,
Lithium-Ion-LFP-bicharger,,,,,,2.1198,,,,,,,,,,,,,,,,,0.07,,,,0.9193,,,,,,,,,,,,,,,81553.4846,16.0,,,,,,,,,,,,,,,,
Lithium-Ion-LFP-store,,,,,,0.0447,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,236482.8109,16.0,,,,,,,,,,,,,,,,
Lithium-Ion-NMC-bicharger,,,,,,2.1198,,,,,,,,,,,,,,,,,0.07,,,,0.9193,,,,,,,,,,,,,,,81553.4846,13.0,,,,,,,,,,,,,,,,
Lithium-Ion-NMC-store,,,,,,0.038,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,269576.8493,13.0,,,,,,,,,,,,,,,,
LowT-Molten-Salt-charger,,,,,,1.075,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,144192.2682,35.0,,,,,,,,,,,,,,,,
LowT-Molten-Salt-discharger,,,,,,0.2688,,,,,,,,,,,,,,,,,0.07,,,,0.5394,,,,,,,,,,,,,,,576769.073,35.0,,,,,,,,,,,,,,,,
LowT-Molten-Salt-store,,,,,,0.3308,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,58041.2003,35.0,,,,,,,,,,,,,,,,
MeOH transport ship,,,,,,5.0,,,,,,,75000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,35000000.0,15.0,,,,,,,,,,,,,,,,
Methanol steam reforming,,,,,,4.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,18016.8665,20.0,,,1.201,,,,,,,,,,,,,
NH3 (l) storage tank incl. liquefaction,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,166.8201,20.0,,,,,,,,,,,,,,,,
NH3 (l) transport ship,,,,,,4.0,,,,,,,53000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,81164200.0,20.0,,,,,,,,,,,,,,,,
Ni-Zn-bicharger,,,,,,2.1198,,,,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,,,,,,,81553.4846,15.0,,,,,,,,,,,,,,,,
Ni-Zn-store,,,,,,0.2262,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,267837.874,15.0,,,,,,,,,,,,,,,,
OCGT,,,,,,1.7795,,,4.762,,,,,,,,,,,,,,0.07,,,,0.41,,,,,,,,,,,,,,,460580.4,25.0,,,,,,,,,,,,,,,,
PEM electrolyzer small size,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,1.33,,,,,,,,1080538.4,7.0,,,,,,,,,,,,,,,,
PHS,,,,,,1.0,,,,,,,,,,,,,,,,,0.07,,,,0.75,,,,,,,,,,,,,,,2274817.7,80.0,,,,,,,,,,,,,,,,
Pumped-Heat-charger,,,,,,0.366,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,761782.6727,33.0,,,,,,,,,,,,,,,,
Pumped-Heat-discharger,,,,,,0.5212,,,,,,,,,,,,,,,,,0.07,,,,0.63,,,,,,,,,,,,,,,534868.6851,33.0,,,,,,,,,,,,,,,,
Pumped-Heat-store,,,,,,0.1528,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,11546.7963,33.0,,,,,,,,,,,,,,,,
Pumped-Storage-Hydro-bicharger,,,,,,0.9951,,,,,,,,,,,,,,,,,0.07,,,,0.8944,,,,,,,,,,,,,,,1397128.4612,60.0,,,,,,,,,,,,,,,,
Pumped-Storage-Hydro-store,,,,,,0.43,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,57074.0625,60.0,,,,,,,,,,,,,,,,
SMR,,,,,,5.0,,,,,,,,,,,,,,,,,0.07,,,,0.76,,,,,,,,,,,,,,,522201.0492,30.0,,,,,,,,,,,,,,,,
SMR CC,,,,,,5.0,,,,,,,,,0.9,,,,,,,,0.07,,,,0.69,,,,,,,,,,,,,,,605753.2171,30.0,,,,,,,,,,,,,,,,
SOEC,,,,,,4.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,1.19,,,,,,,,2243545.2,30.0,,,,,,,,,,,,,,,,
Sand-charger,,,,,,1.075,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,144192.2682,35.0,,,,,,,,,,,,,,,,
Sand-discharger,,,,,,0.2688,,,,,,,,,,,,,,,,,0.07,,,,0.53,,,,,,,,,,,,,,,576769.073,35.0,,,,,,,,,,,,,,,,
Sand-store,,,,,,0.3308,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,6700.8517,35.0,,,,,,,,,,,,,,,,
Steam methane reforming,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,497454.611,30.0,,1.483,,,,,,,,,,,,,,
"Tank&bulk, diesel",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.462,,,,,,,,,,,,,,,35129312.4041,25.0,,,,,,,,,,,,,,,,
"Tank&bulk, methanol",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.4695,,,,,,,,,,,,,,,36885778.0243,25.0,,,,,,,,,,,,,,,,
"Tankbulk, ammonia",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.471,,,,,,,,,,,,,,,38642243.6445,25.0,,,,,,,,,,,,,,,,
